date,description,amount,type,category
01/01/2024,Salary Credit,2500.0,credit,salary
01/01/2024,Netflix Subscription,12.99,debit,subscription
01/01/2024,Gym Membership,29.99,debit,subscription
01/01/2024,Mobile Plan,19.99,debit,subscription
01/01/2024,Adobe Creative Cloud,24.99,debit,subscription
01/01/2024,GitHub Pro,4.99,debit,subscription
01/01/2024,Restaurant Italiano,5.5,debit,dining
02/01/2024,Netto,38.4,debit,groceries
02/01/2024,Doener King,8.5,debit,dining
03/01/2024,Rent Payment,650.0,debit,rent
03/01/2024,Spotify Premium,9.99,debit,subscription
03/01/2024,Edeka,15.0,debit,groceries
03/01/2024,REWE Markt,65.0,debit,groceries
04/01/2024,Ditsch,14.2,debit,dining
04/01/2024,Bus Ticket,8.9,debit,transport
04/01/2024,Festival Ticket,15.0,debit,entertainment
05/01/2024,Telekom Internet,39.99,debit,utilities
05/01/2024,Festival Ticket,9.5,debit,entertainment
06/01/2024,Haircut,25.0,debit,shopping
07/01/2024,Shell Fuel,55.0,debit,transport
08/01/2024,Starbucks,14.2,debit,dining
10/01/2024,ALDI Sued,65.0,debit,groceries
10/01/2024,DB Bahn Ticket,8.9,debit,transport
10/01/2024,University Books,23.28,debit,education
11/01/2024,Pizza Hut,42.0,debit,dining
11/01/2024,Bus Ticket,38.0,debit,transport
11/01/2024,Steam Game,15.0,debit,entertainment
12/01/2024,Kaufland,65.0,debit,groceries
13/01/2024,Sushi Bar,12.0,debit,dining
13/01/2024,Dry Cleaning,18.5,debit,shopping
14/01/2024,Kaufland,38.4,debit,groceries
14/01/2024,Aral Fuel,18.3,debit,transport
15/01/2024,Stadtwerke Utilities,113.08,debit,utilities
15/01/2024,Bus Ticket,45.0,debit,transport
17/01/2024,Lidl,65.0,debit,groceries
17/01/2024,Starbucks,6.5,debit,dining
17/01/2024,VRR Monthly,15.0,debit,transport
18/01/2024,Netto,28.9,debit,groceries
18/01/2024,Parking Ticket,25.0,debit,transport
19/01/2024,BioMarkt,29.99,debit,groceries
19/01/2024,Burger Place,42.0,debit,dining
20/01/2024,Freelance Project Payment,265.06,credit,salary
20/01/2024,DM Drogerie,72.5,debit,groceries
20/01/2024,VRR Monthly,65.0,debit,transport
20/01/2024,H&M,120.0,debit,shopping
21/01/2024,Pizza Hut,19.8,debit,dining
21/01/2024,Media Markt,12.5,debit,shopping
23/01/2024,Lidl,33.2,debit,groceries
23/01/2024,Restaurant Italiano,42.0,debit,dining
24/01/2024,Edeka,28.9,debit,groceries
24/01/2024,Restaurant Italiano,19.8,debit,dining
24/01/2024,Starbucks,22.3,debit,dining
26/01/2024,Salary Credit,2500.0,credit,salary
26/01/2024,Mobile Plan,19.99,debit,subscription
26/01/2024,Netto,42.3,debit,groceries
26/01/2024,Bus Ticket,8.9,debit,transport
27/01/2024,FlixBus,8.9,debit,transport
27/01/2024,Decathlon,120.0,debit,shopping
28/01/2024,REWE Markt,42.3,debit,groceries
29/01/2024,GitHub Pro,4.99,debit,subscription
30/01/2024,Gym Membership,29.99,debit,subscription
30/01/2024,Adobe Creative Cloud,24.99,debit,subscription
31/01/2024,Rent Payment,650.0,debit,rent
31/01/2024,Netflix Subscription,12.99,debit,subscription
31/01/2024,Spotify Premium,9.99,debit,subscription
31/01/2024,REWE Markt,15.0,debit,groceries
31/01/2024,Bus Ticket,22.5,debit,transport
01/02/2024,Netto,48.6,debit,groceries
01/02/2024,DB Bahn Ticket,45.0,debit,transport
01/02/2024,Amazon Order,42.5,debit,shopping
02/02/2024,Telekom Internet,39.99,debit,utilities
02/02/2024,ALDI Sued,38.4,debit,groceries
02/02/2024,Doener King,35.0,debit,dining
02/02/2024,McDonalds,6.5,debit,dining
02/02/2024,Shoes,65.0,debit,shopping
03/02/2024,ALDI Sued,15.0,debit,groceries
03/02/2024,Cafe Central,5.5,debit,dining
03/02/2024,Bus Ticket,55.0,debit,transport
06/02/2024,Restaurant Italiano,5.5,debit,dining
07/02/2024,BioMarkt,28.9,debit,groceries
08/02/2024,REWE Markt,72.5,debit,groceries
08/02/2024,Thai Kitchen,42.0,debit,dining
08/02/2024,Aral Fuel,22.5,debit,transport
09/02/2024,Burger Place,28.5,debit,dining
10/02/2024,DM Drogerie,48.6,debit,groceries
10/02/2024,Aral Fuel,38.0,debit,transport
10/02/2024,Taxi,55.0,debit,transport
11/02/2024,Kaufland,42.3,debit,groceries
12/02/2024,Uber Ride,3.0,debit,transport
12/02/2024,Dentist,28.0,debit,health
13/02/2024,Pizza Hut,6.5,debit,dining
13/02/2024,Kino Film,8.99,debit,entertainment
14/02/2024,Edeka,28.9,debit,groceries
14/02/2024,Lidl,48.6,debit,groceries
14/02/2024,Bus Ticket,45.0,debit,transport
16/02/2024,ALDI Sued,15.0,debit,groceries
16/02/2024,Thai Kitchen,19.8,debit,dining
17/02/2024,Bus Ticket,38.0,debit,transport
18/02/2024,Freelance Project Payment,342.11,credit,salary
19/02/2024,ALDI Sued,55.8,debit,groceries
19/02/2024,Sushi Bar,42.0,debit,dining
19/02/2024,IKEA Purchase,150.0,debit,shopping
20/02/2024,McDonalds,8.5,debit,dining
21/02/2024,Sushi Bar,18.9,debit,dining
21/02/2024,Concert Ticket,28.0,debit,entertainment
22/02/2024,Bank Fee,2.99,debit,other
23/02/2024,Rent Payment,650.0,debit,rent
23/02/2024,Salary Credit,2500.0,credit,salary
23/02/2024,Netflix Subscription,12.99,debit,subscription
23/02/2024,GitHub Pro,4.99,debit,subscription
23/02/2024,Kaufland,22.1,debit,groceries
23/02/2024,Saturn,35.0,debit,shopping
24/02/2024,Spotify Premium,9.99,debit,subscription
24/02/2024,Gym Membership,29.99,debit,subscription
24/02/2024,Taxi,55.0,debit,transport
24/02/2024,VRR Monthly,45.0,debit,transport
25/02/2024,DM Drogerie,65.0,debit,groceries
25/02/2024,Concert Ticket,25.0,debit,entertainment
27/02/2024,Mobile Plan,19.99,debit,subscription
27/02/2024,Adobe Creative Cloud,24.99,debit,subscription
27/02/2024,ALDI Sued,42.3,debit,groceries
27/02/2024,VRR Monthly,12.5,debit,transport
28/02/2024,Bus Ticket,38.0,debit,transport
29/02/2024,Ditsch,15.0,debit,dining
29/02/2024,Restaurant Italiano,42.0,debit,dining
02/03/2024,Netto,42.3,debit,groceries
02/03/2024,Media Markt,85.0,debit,shopping
03/03/2024,Lidl,28.9,debit,groceries
03/03/2024,Winter Jacket,85.0,debit,shopping
04/03/2024,Telekom Internet,39.99,debit,utilities
05/03/2024,Udemy Course,43.47,debit,education
06/03/2024,BioMarkt,15.0,debit,groceries
06/03/2024,DB Bahn Ticket,12.5,debit,transport
06/03/2024,H&M,65.0,debit,shopping
07/03/2024,Sushi Bar,22.3,debit,dining
08/03/2024,Lidl,31.25,debit,groceries
08/03/2024,BioMarkt,65.0,debit,groceries
08/03/2024,Edeka,72.5,debit,groceries
08/03/2024,VRR Monthly,18.3,debit,transport
09/03/2024,Restaurant Italiano,28.5,debit,dining
09/03/2024,Netflix (extra),15.0,debit,entertainment
11/03/2024,DB Bahn Ticket,15.0,debit,transport
12/03/2024,Edeka,42.3,debit,groceries
12/03/2024,Cafe Central,19.8,debit,dining
13/03/2024,REWE Markt,29.99,debit,groceries
13/03/2024,Taxi,8.9,debit,transport
14/03/2024,Netto,42.3,debit,groceries
14/03/2024,Aral Fuel,18.3,debit,transport
15/03/2024,Stadtwerke Utilities,104.61,debit,utilities
15/03/2024,Edeka,29.99,debit,groceries
16/03/2024,Steam Game,18.0,debit,entertainment
17/03/2024,Pizza Hut,35.0,debit,dining
18/03/2024,ALDI Sued,72.5,debit,groceries
18/03/2024,REWE Markt,55.8,debit,groceries
18/03/2024,Starbucks,18.9,debit,dining
19/03/2024,Thai Kitchen,42.0,debit,dining
19/03/2024,Escape Room,25.0,debit,entertainment
20/03/2024,Taxi,45.0,debit,transport
20/03/2024,IKEA Purchase,55.0,debit,shopping
23/03/2024,Salary Credit,2500.0,credit,salary
23/03/2024,GitHub Pro,4.99,debit,subscription
23/03/2024,REWE Markt,65.0,debit,groceries
24/03/2024,Pizza Hut,28.5,debit,dining
24/03/2024,Shell Fuel,22.5,debit,transport
24/03/2024,Netflix (extra),55.0,debit,entertainment
24/03/2024,Festival Ticket,12.5,debit,entertainment
25/03/2024,Adobe Creative Cloud,24.99,debit,subscription
